,date,up,keep,down,predindex,hs300
140,2012-09-14 00:00:00,5319,4476,12061,-0.38791714614499423,2315.54
141,2012-09-21 00:00:00,4238,3327,9442,-0.3804093567251462,2199.06
142,2012-09-28 00:00:00,3218,2289,5994,-0.30134607034303085,2293.11
143,2012-10-05 00:00:00,2062,1552,3396,-0.24441187248076218,2270.05
144,2012-10-12 00:00:00,2112,1540,3230,-0.2092849120179708,2304.53
145,2012-10-19 00:00:00,2489,1937,4000,-0.23285560178764061,2332.47
146,2012-10-26 00:00:00,4038,3927,7325,-0.2892721992431576,2247.91
147,2012-11-02 00:00:00,6454,6849,13317,-0.34712457639977745,2306.77
148,2012-11-09 00:00:00,6902,7092,14236,-0.34695808496546504,2240.92
149,2012-11-16 00:00:00,6569,6824,13771,-0.35408062930186823,2177.24
150,2012-11-23 00:00:00,5335,5470,11244,-0.35641474154050307,2192.68
151,2012-11-30 00:00:00,2899,2321,5142,-0.278945404800398,2139.66
152,2012-12-07 00:00:00,2868,2411,4995,-0.2705074399084319,2246.76
153,2012-12-14 00:00:00,3085,2732,5211,-0.25626808100289294,2355.86
154,2012-12-21 00:00:00,3505,2869,5914,-0.2557596347807623,2372.0
155,2012-12-28 00:00:00,3836,2861,6386,-0.2494619448248875,2480.05
156,2013-01-04 00:00:00,3337,2474,5369,-0.2334022513209281,2524.41
157,2013-01-11 00:00:00,3264,1994,4700,-0.18031140130587645,2483.23
158,2013-01-18 00:00:00,3416,1998,4693,-0.1574793439388334,2595.44
159,2013-01-25 00:00:00,3571,2009,4268,-0.08891440234723817,2571.67
160,2013-02-01 00:00:00,4224,2286,5031,-0.08719611021069693,2743.32
161,2013-02-08 00:00:00,4675,2502,5702,-0.09896887347017443,2771.73
162,2013-02-15 00:00:00,3727,1901,4513,-0.09538834951456311,2737.47
163,2013-02-22 00:00:00,3422,1724,4268,-0.11001300390117034,2596.6
164,2013-03-01 00:00:00,4115,1793,5168,-0.11343315738446623,2668.84
165,2013-03-08 00:00:00,4200,1804,5527,-0.13642438573044105,2606.93
166,2013-03-15 00:00:00,5292,2226,6803,-0.12492765605622158,2539.87
167,2013-03-22 00:00:00,5902,2411,7729,-0.13403271953635096,2618.31
168,2013-03-29 00:00:00,6374,2448,8240,-0.1276857807581771,2495.08
169,2013-04-05 00:00:00,6364,2482,8393,-0.1374940706105577,2472.3
170,2013-04-12 00:00:00,6160,2666,8394,-0.15349732032430946,2462.11
171,2013-04-19 00:00:00,6294,2946,8751,-0.16331006979062812,2533.83
172,2013-04-26 00:00:00,6603,5417,9449,-0.17729877896835286,2447.31
173,2013-05-03 00:00:00,5904,6196,8184,-0.16183986371379896,2492.91
174,2013-05-10 00:00:00,5965,6171,8289,-0.16304195313596184,2540.84
175,2013-05-17 00:00:00,5289,6087,7240,-0.15571873254050603,2592.05
176,2013-05-24 00:00:00,4217,4284,5104,-0.09516146336230018,2597.23
177,2013-05-31 00:00:00,3796,2913,4340,-0.06686332350049164,2606.43
178,2013-06-07 00:00:00,3218,2296,3240,-0.0034066274388355527,2484.16
179,2013-06-14 00:00:00,3033,2059,2930,0.01727318463860473,2416.77
180,2013-06-21 00:00:00,3243,1946,3063,0.028544243577545196,2317.39
181,2013-06-28 00:00:00,3367,1970,3568,-0.02898341744772891,2200.64
182,2013-07-05 00:00:00,3678,2114,3915,-0.03121295930462268,2226.85
183,2013-07-12 00:00:00,4462,2477,4832,-0.03981063051431031,2275.37
184,2013-07-19 00:00:00,4464,2668,4991,-0.05573770491803279,2190.48
185,2013-07-26 00:00:00,4622,2839,5162,-0.05519215044971382,2224.01
186,2013-08-02 00:00:00,4521,3058,5074,-0.05763418447107869,2247.26
187,2013-08-09 00:00:00,4577,3260,4999,-0.04406850459482038,2286.01
188,2013-08-16 00:00:00,4808,3644,5459,-0.06340703223921301,2304.14
189,2013-08-23 00:00:00,5366,4719,6602,-0.10327540106951871,2286.93
190,2013-08-30 00:00:00,6295,5906,8424,-0.1446429784632108,2313.91
191,2013-09-06 00:00:00,6506,5949,8902,-0.1555036344755971,2357.78
192,2013-09-13 00:00:00,6020,5695,8030,-0.14306049822064057,2488.9
